iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,shadow_failed,shadow_fail_reasons,shadow_fail_samples,destroy,repair,temperature,no_improve_counter,is_global_best_improvement,delta_cost_from_current,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
1,1177.5906540861547,21297.74725907901,1177.5906540861547,False,False,False,{},[],cascade_aware_removal,best_mode_repair,1000.0,1,False,20120.156604992855,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,344.0029482251083,167.00294822510827,177.0,510.36301163750096,3.363011637500977,507.0,143.7208804230052,190.8605122572666,64.67330072117264,6.74070882708282,1,1,1,3,3,3,107.25830373210424,107.25830373210424,20000.0,21297.74725907901,42.192673702994625,123.24429863444124,0.0,2.0,True,False,"['customer 14 service_start 381.344 exceeds latest 360.000.', 'customer 23 service_start 391.287 exceeds latest 360.000.']"
2,1169.874570391445,1169.874570391445,1169.874570391445,True,True,False,{},[],cascade_aware_removal,regret_repair,999.5,0,True,-7.716083694709596,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,383.42151248697513,206.42151248697513,177.0,343.0717586880698,5.07175868806979,338.0,143.7208804230052,235.91029998511442,97.53382092441903,10.595158998071257,1,1,1,3,2,3,9.027510863623869,9.027510863623869,0.0,1169.874570391445,12.341379303868848,1.5828019767849355,0.0,0.0,True,True,[]
3,1169.874570391445,81399.0529471932,1169.874570391445,False,False,False,{},[],switch_transshipment_operator,regret_repair,999.00025,1,False,80229.17837680175,567.6486884593675,401.64868845936746,166.0,401.64868845936746,0.0,313.4730822426342,136.47308224263415,177.0,517.9311764911973,10.931176491197347,507.0,208.10812873542355,155.96923684872473,210.2149325230259,23.63936696339504,1,1,1,3,3,3,136.79898958566167,136.79898958566167,80000.0,81399.0529471932,211.0010122143882,0.0,0.0,4.0,True,False,"['unassigned customers remain: [8, 10, 13, 14, 17, 18, 19, 24, 25]', 'customer 16 service_start 434.487 exceeds latest 360.000.', 'customer 6 service_start 440.147 exceeds latest 360.000.', 'customer 12 service_start 466.837 exceeds latest 360.000.', 'customer 11 service_start 397.108 exceeds latest 360.000.', 'high-floor customer 13 must be served by drone.', 'high-floor customer 18 must be served by drone.', 'high-floor customer 19 must be served by drone.']"
4,1169.874570391445,51289.619701299394,1169.874570391445,False,False,False,{},[],route_segment_removal,greedy_drone_repair,998.5007498750001,2,False,50119.74513090795,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,331.29826339901433,154.29826339901436,177.0,514.9401386839762,7.94013868397624,507.0,143.7208804230052,176.3408724560164,152.69497469185077,15.025202823972938,1,1,1,3,3,6,161.05890171353713,161.05890171353713,50000.0,51289.619701299394,59.369731291543104,189.0501685236813,0.0,5.0,True,False,"['customer 9 service_start 360.165 exceeds latest 360.000.', 'customer 7 service_start 368.754 exceeds latest 360.000.', 'customer 15 service_start 373.529 exceeds latest 360.000.', 'customer 6 service_start 386.715 exceeds latest 360.000.', 'customer 16 service_start 382.945 exceeds latest 360.000.']"
5,1000.7699332110637,1000.7699332110637,1000.7699332110637,True,True,False,{},[],random_customer_removal,cascade_repair,998.0014995000627,0,True,-169.10463718038136,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,383.42151248697513,206.42151248697513,177.0,173.96712150768855,4.96712150768854,169.0,143.7208804230052,235.91029998511442,95.52156745554885,10.15718461821138,1,1,1,3,1,3,8.290723332474233,8.290723332474233,0.0,1000.7699332110637,11.20494609386941,1.5828019767849355,0.0,0.0,True,True,[]
6,1000.7699332110637,40713.74173098505,1000.7699332110637,False,False,False,{},[],switch_transshipment_operator,cascade_repair,997.5024987503127,1,False,39712.971797773986,713.7417309850532,547.7417309850532,166.0,547.7417309850532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.8040056917374,0.0,0.0,0.0,1,1,1,0,0,0,0.0,0.0,40000.0,40713.74173098505,0.0,0.0,0.0,0.0,True,False,"['unassigned customers remain: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]', 'high-floor customer 13 must be served by drone.', 'high-floor customer 18 must be served by drone.', 'high-floor customer 19 must be served by drone.']"
7,898.4707319500264,898.4707319500264,898.4707319500264,True,True,False,{},[],greedy_removal,best_mode_repair,997.0037475009376,0,True,-102.2992012610373,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,281.09057468205606,163.0905746820561,118.0,173.99885805157027,4.99885805157026,169.0,143.7208804230052,186.3892282080641,96.1318856071204,15.713182881437895,1,1,1,2,1,3,32.69592797480812,32.69592797480812,0.0,898.4707319500264,11.20494609386941,39.225791142338494,0.0,0.0,True,True,[]
8,898.4707319500264,40897.004503169366,898.4707319500264,False,False,False,{},[],random_customer_removal,greedy_van_repair,996.5052456271872,1,False,39998.53377121934,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,281.09057468205606,163.0905746820561,118.0,172.5326292709073,3.532629270907306,169.0,143.7208804230052,186.3892282080641,67.93517828667896,12.150236823030133,1,1,1,2,1,1,25.431387923949455,25.431387923949455,40000.0,40897.004503169366,0.0,39.225791142338494,0.0,0.0,True,False,"['unassigned customers remain: [13, 18, 19]', 'high-floor customer 13 must be served by drone.', 'high-floor customer 18 must be served by drone.', 'high-floor customer 19 must be served by drone.']"
9,898.4707319500264,20898.862405227817,898.4707319500264,False,False,False,{},[],route_segment_removal,greedy_van_repair,996.0069930043736,2,False,20000.39167327779,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,281.4822479598465,163.4822479598465,118.0,173.99885805157027,4.99885805157026,169.0,143.7208804230052,186.83685481125312,96.1318856071204,15.713182881437895,1,1,1,2,1,3,36.82434962190954,36.82434962190954,20000.0,20898.862405227817,11.20494609386941,45.593536613446076,0.0,2.0,True,False,"['customer 23 service_start 366.048 exceeds latest 360.000.', 'customer 13 service_start 365.115 exceeds latest 360.000.']"
10,860.3706454151579,860.3706454151579,860.3706454151579,True,True,False,{},[],greedy_removal,regret_repair,995.5089895078714,0,True,-38.100086534868524,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,239.02066584982563,121.02066584982563,118.0,177.9686803489323,8.968680348932315,169.0,143.7208804230052,138.30933239980072,172.4746220948522,22.80351453273599,1,1,1,2,1,4,78.53159698658305,78.53159698658305,0.0,860.3706454151579,121.12842722866282,0.0,0.0,0.0,True,True,[]
