iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,shadow_failed,shadow_fail_reasons,shadow_fail_samples,destroy,repair,action_id,action_display_name,operator_mode,action_registry_fingerprint,temperature,no_improve_counter,is_global_best_improvement,delta_cost_from_current,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
11,1123.11017858475,1123.11017858475,1123.11017858475,True,True,False,{},[],related_customer_removal,regret_repair,10,Related + Regret,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,995.0112350131176,0,True,-4.942794006580698,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,332.97863983729457,155.97863983729457,177.0,346.7502395310553,8.750239531055296,338.0,143.7208804230052,178.2613026711938,168.2738371356788,23.061954188509763,1,1,1,3,2,7,43.92826721741356,43.92826721741356,0.0,1123.11017858475,54.48590176015057,13.26978032326366,0.0,0.0,True,True,[]
12,1123.11017858475,11372.924717527645,1123.11017858475,False,False,False,{},[],greedy_removal,best_mode_repair,4,Greedy + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,994.5137293956111,1,False,10249.814538942896,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,238.3495733054692,120.34957330546919,118.0,691.1938450057755,15.193845005775495,676.0,143.7208804230052,137.5423694919648,292.1893270341442,33.53470878184645,1,1,1,2,4,11,131.78832891034523,131.78832891034523,10000.0,11372.924717527645,150.4690931862563,52.80339356491885,0.0,1.0,True,False,['customer 16 service_start 379.891 exceeds latest 360.000.']
13,1123.11017858475,11372.924717527645,1123.11017858475,False,False,False,{},[],greedy_removal,best_mode_repair,4,Greedy + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,994.0164725309133,2,False,10249.814538942896,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,238.3495733054692,120.34957330546919,118.0,691.1938450057755,15.193845005775495,676.0,143.7208804230052,137.5423694919648,292.1893270341442,33.53470878184645,1,1,1,2,4,11,131.78832891034523,131.78832891034523,10000.0,11372.924717527645,150.4690931862563,52.80339356491885,0.0,1.0,True,False,['customer 16 service_start 379.891 exceeds latest 360.000.']
14,1123.11017858475,1123.11017858475,1123.11017858475,True,True,False,{},[],greedy_removal,cascade_repair,7,Greedy + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,993.519464294648,3,False,0.0,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,332.97863983729457,155.97863983729457,177.0,346.7502395310553,8.750239531055296,338.0,143.7208804230052,178.2613026711938,168.2738371356788,23.061954188509763,1,1,1,3,2,7,43.92826721741356,43.92826721741356,0.0,1123.11017858475,54.48590176015057,13.26978032326366,0.0,0.0,True,True,[]
15,1207.3988406346298,1207.3988406346298,1123.11017858475,True,True,False,{},[],random_customer_removal,greedy_van_repair,1,Random + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,993.0227045625006,4,False,84.2886620498798,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,243.48012157679204,125.48012157679204,118.0,520.5374198414376,13.537419841437504,507.0,143.7208804230052,143.40585323061947,260.33499695072123,35.41896195699381,1,1,1,2,3,8,98.06736494143948,98.06736494143948,0.0,1207.3988406346298,134.91032304425892,16.350394089066754,0.0,0.0,True,True,[]
16,1153.350139615392,1153.350139615392,1123.11017858475,True,True,False,{},[],random_customer_removal,regret_repair,2,Random + Regret,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,992.5261932102194,5,False,-54.0487010192378,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,362.62855672370296,185.62855672370296,177.0,347.3402836752888,9.340283675288783,338.0,143.7208804230052,212.14692196994625,179.62083990939968,25.77695224805993,1,1,1,3,2,6,44.63783790504176,44.63783790504176,0.0,1153.350139615392,68.46911714555443,0.38101844062822465,0.0,0.0,True,True,[]
17,1153.5044592092315,1153.5044592092315,1123.11017858475,True,True,False,{},[],random_customer_removal,regret_repair,2,Random + Regret,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,992.0299301136143,6,False,0.15431959383954563,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,362.62855672370296,185.62855672370296,177.0,347.4946032691285,9.494603269128524,338.0,143.7208804230052,212.14692196994625,182.5885244063178,23.871324195603872,1,1,1,3,2,6,49.008284199690586,49.008284199690586,0.0,1153.5044592092315,75.21016541493566,0.38101844062822465,0.0,0.0,True,True,[]
18,1318.6259094946304,1318.6259094946304,1123.11017858475,True,True,False,{},[],random_customer_removal,best_mode_repair,0,Random + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,991.5339151485576,7,False,165.12145028539885,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,360.67950318601663,183.6795031860166,177.0,514.5651070922138,7.5651070922137915,507.0,143.7208804230052,209.9194322125904,145.48282869641906,18.54426412827089,1,1,1,3,3,7,47.042856627860864,47.042856627860864,0.0,1318.6259094946304,72.17865759206205,0.38101844062822465,0.0,0.0,True,True,[]
19,1318.6259094946304,31124.00200850999,1123.11017858475,False,False,False,{},[],cascade_aware_removal,cascade_repair,15,Cascade + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,991.0381481909834,8,False,29805.37609901536,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,337.80530499521683,160.8053049952168,177.0,342.81540429837094,4.815404298370932,338.0,143.7208804230052,183.77749142310492,92.60392881482562,11.06826279539574,1,1,1,3,2,4,21.330491560436098,21.330491560436098,30000.0,31124.00200850999,32.51948268086704,0.38101844062822465,0.0,0.0,True,False,"['unassigned customers remain: [9, 13, 17, 18, 19, 23]', 'high-floor customer 13 must be served by drone.', 'high-floor customer 23 must be served by drone.']"
20,1318.6259094946304,161306.6291603223,1123.11017858475,False,False,False,{},[],cascade_aware_removal,greedy_van_repair,13,Cascade + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,990.542629116888,9,False,159988.00325082766,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,345.24196029572886,168.24196029572886,177.0,518.005900810172,11.005900810171928,507.0,143.7208804230052,192.27652605226154,211.6519386571525,20.55093184744783,1,1,1,3,3,9,15947.615277912806,15947.615277912806,160000.0,161306.6291603223,12368.936656772164,12228.92752509849,0.0,15.0,True,False,"['customer 24 service_start 6323.474 exceeds latest 360.000.', 'customer 8 service_start 6358.776 exceeds latest 360.000.', 'customer 16 service_start 6374.028 exceeds latest 360.000.', 'customer 14 service_start 6393.596 exceeds latest 360.000.', 'customer 17 service_start 6422.614 exceeds latest 360.000.', 'customer 23 service_start 6423.452 exceeds latest 360.000.', 'customer 6 service_start 6381.430 exceeds latest 360.000.', 'customer 11 service_start 6399.626 exceeds latest 360.000.', 'timing fixed-point did not converge within 52 iterations.', 'van_0 departs position 5 before recovery_time 6388.833.', 'van_0 position 6 arrival 6393.596 is before propagated recovery arrival 6408.402.', 'van_2 departs position 2 before recovery_time 6409.078.', 'van_2 position 3 arrival 6329.607 is before propagated recovery arrival 6446.244.', 'van_0 departs position 2 before recovery_time 6424.289.', 'van_0 position 3 arrival 6323.474 is before propagated recovery arrival 6440.112.', 'drone_id drone_1 launch_position 2 is before previous recovery_position 7.']"
