"iteration","action_id","destroy","repair","accepted","current_cost","best_cost","candidate_feasible","operator_mode","action_registry_fingerprint"
"30","13","cascade_aware_removal","greedy_van_repair","False","1317.7647944280202","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"31","15","cascade_aware_removal","cascade_repair","False","1317.7647944280202","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"32","9","related_customer_removal","greedy_van_repair","False","1317.7647944280202","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"33","12","cascade_aware_removal","best_mode_repair","False","1317.7647944280202","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"34","2","random_customer_removal","regret_repair","True","1313.7994762410062","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"35","14","cascade_aware_removal","regret_repair","True","1230.6179180993809","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"36","2","random_customer_removal","regret_repair","True","1233.4699069798007","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"37","14","cascade_aware_removal","regret_repair","True","1232.6416050717748","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"38","13","cascade_aware_removal","greedy_van_repair","False","1232.6416050717748","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"39","1","random_customer_removal","greedy_van_repair","False","1232.6416050717748","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"40","14","cascade_aware_removal","regret_repair","True","1084.2527718957374","1084.2527718957374","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"41","11","related_customer_removal","cascade_repair","False","1084.2527718957374","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"42","0","random_customer_removal","best_mode_repair","False","1084.2527718957374","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"43","2","random_customer_removal","regret_repair","False","1084.2527718957374","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"44","12","cascade_aware_removal","best_mode_repair","False","1084.2527718957374","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"45","0","random_customer_removal","best_mode_repair","False","1084.2527718957374","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"46","5","greedy_removal","greedy_van_repair","True","1173.1954808230307","1084.2527718957374","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"47","12","cascade_aware_removal","best_mode_repair","False","1173.1954808230307","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"48","4","greedy_removal","best_mode_repair","False","1173.1954808230307","1084.2527718957374","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"49","6","greedy_removal","regret_repair","True","1083.517038609855","1083.517038609855","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"50","3","random_customer_removal","cascade_repair","False","1083.517038609855","1083.517038609855","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"51","15","cascade_aware_removal","cascade_repair","False","1083.517038609855","1083.517038609855","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"52","12","cascade_aware_removal","best_mode_repair","False","1083.517038609855","1083.517038609855","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"53","5","greedy_removal","greedy_van_repair","True","1080.9617708416854","1080.9617708416854","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
