variant,repetition,wall_seconds,result_fingerprint,semantic_result
baseline,1,98.54826730000786,741fe198e7836553136b109eb7890eef13983044aa28608c7f8b9e90745b6f45,PASS
baseline,2,108.1723410000559,741fe198e7836553136b109eb7890eef13983044aa28608c7f8b9e90745b6f45,PASS
baseline,3,110.11211839993484,741fe198e7836553136b109eb7890eef13983044aa28608c7f8b9e90745b6f45,PASS
prototype,1,100.84321289998479,741fe198e7836553136b109eb7890eef13983044aa28608c7f8b9e90745b6f45,PASS
prototype,2,97.34535300009884,741fe198e7836553136b109eb7890eef13983044aa28608c7f8b9e90745b6f45,PASS
prototype,3,101.7842357000336,741fe198e7836553136b109eb7890eef13983044aa28608c7f8b9e90745b6f45,PASS
