action_id,pair,destroy_selected_customers,dependency_predicate_hits,dependency_edges,closure_discovery_order,r_star,native_partition_evidence,repair_input_bundles,deletion_attempt_order,actually_unassigned,adapter_call_count,repair_result_category,repair_status,checker_calls,objective_calls,objective,feasible,violations,business_fingerprint,business_baseline_match,rng_calls_after_repair,rng_digest_after_repair,caller_state_unchanged_after_repair,active_context_after_repair
12,Cascade+Global,[12],{},[],[12],[12],[[12]],"[{""bundle_id"": ""cascade:85e5862611154e12ca70:bundle:0000"", ""customer_ids"": [12], ""dependency_order"": [12], ""contract_fingerprint"": ""8eb99601571e8554f1c68edeaaa34f67241af5172cc7ed7bc4f47c4d56c51d9c"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:4-6""], ""drone_subroute_ids"": []}]",[12],[12],0,B,returned,1,0,40927.31636113969,False,"[""drone_id drone_0 launch_position 1 is before previous recovery_position 2."", ""timing fixed-point did not converge within 26 iterations."", ""van_0 departs position 1 before recovery_time 2779.606."", ""van_0 position 2 arrival 2723.238 is before propagated recovery arrival 2821.270.""]",819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,True,False
13,Cascade+Local,[12],{},[],[12],[12],[[12]],"[{""bundle_id"": ""cascade:85e5862611154e12ca70:bundle:0000"", ""customer_ids"": [12], ""dependency_order"": [12], ""contract_fingerprint"": ""8eb99601571e8554f1c68edeaaa34f67241af5172cc7ed7bc4f47c4d56c51d9c"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:4-6""], ""drone_subroute_ids"": []}]",[12],[12],0,B,returned,1,0,40927.31636113969,False,"[""drone_id drone_0 launch_position 1 is before previous recovery_position 2."", ""timing fixed-point did not converge within 26 iterations."", ""van_0 departs position 1 before recovery_time 2779.606."", ""van_0 position 2 arrival 2723.238 is before propagated recovery arrival 2821.270.""]",819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}, {""method"": ""shuffle"", ""args"": [[12]], ""kwargs"": {}, ""result"": null}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,True,False
14,Cascade+Regret,[12],{},[],[12],[12],[[12]],"[{""bundle_id"": ""cascade:85e5862611154e12ca70:bundle:0000"", ""customer_ids"": [12], ""dependency_order"": [12], ""contract_fingerprint"": ""8eb99601571e8554f1c68edeaaa34f67241af5172cc7ed7bc4f47c4d56c51d9c"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:4-6""], ""drone_subroute_ids"": []}]",[12],[12],0,A,returned,2,76,926.3737517924612,True,[],3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,True,False
15,Cascade+Cascade,[12],{},[],[12],[12],[[12]],"[{""bundle_id"": ""cascade:85e5862611154e12ca70:bundle:0000"", ""customer_ids"": [12], ""dependency_order"": [12], ""contract_fingerprint"": ""8eb99601571e8554f1c68edeaaa34f67241af5172cc7ed7bc4f47c4d56c51d9c"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:4-6""], ""drone_subroute_ids"": []}]",[12],[12],0,A,success,7,4,927.8802748155612,True,[],56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,True,False
