iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,shadow_failed,shadow_fail_reasons,shadow_fail_samples,destroy,repair,action_id,action_display_name,operator_mode,action_registry_fingerprint,temperature,no_improve_counter,is_global_best_improvement,delta_cost_from_current,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
1,1484.4917238190928,161397.99409938062,1484.4917238190928,False,False,False,{},[],cascade_aware_removal,best_mode_repair,12,Cascade + Global,extended_mode,588c3c20cc1b34c66bb90f4e6e3296af5397f1ad4ba671b07d59f1f15a446514,1000.0,1,False,159913.50237556154,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,268.4111669454519,150.41116694545192,118.0,686.2016332187856,10.201633218785524,676.0,143.7208804230052,171.8984765090879,196.18525420741395,18.361275725876602,1,1,1,2,4,10,8186.683486464592,8186.683486464592,160000.0,161397.99409938062,8287.55911835959,4339.716182099935,0.0,15.0,True,False,"['customer 5 service_start 365.377 exceeds latest 360.000.', 'customer 16 service_start 4374.905 exceeds latest 360.000.', 'customer 14 service_start 4394.473 exceeds latest 360.000.', 'customer 17 service_start 4423.491 exceeds latest 360.000.', 'customer 20 service_start 4429.502 exceeds latest 360.000.', 'customer 13 service_start 4370.034 exceeds latest 360.000.', 'customer 6 service_start 4382.307 exceeds latest 360.000.', 'customer 15 service_start 4428.808 exceeds latest 360.000.', 'timing fixed-point did not converge within 54 iterations.', 'van_0 departs position 6 before recovery_time 4431.638.', 'van_0 position 7 arrival 4370.327 is before propagated recovery arrival 4446.188.', 'van_1 departs position 2 before recovery_time 4389.710.', 'van_1 position 3 arrival 4394.473 is before propagated recovery arrival 4409.278.', 'van_1 departs position 1 before recovery_time 4435.513.', 'van_1 position 2 arrival 4374.905 is before propagated recovery arrival 4450.765.', 'drone_id drone_2 launch_position 1 is before previous recovery_position 4.']"
2,1476.4566091131849,1476.4566091131849,1476.4566091131849,True,True,False,{},[],cascade_aware_removal,regret_repair,14,Cascade + Regret,extended_mode,588c3c20cc1b34c66bb90f4e6e3296af5397f1ad4ba671b07d59f1f15a446514,999.5,0,True,-8.035114705907972,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,348.6409846592778,171.6409846592778,177.0,684.434325237507,8.434325237506995,676.0,143.7208804230052,196.1611253248889,162.1985622597499,19.64282707687282,1,1,1,3,4,7,111.31270940374145,111.31270940374145,0.0,1476.4566091131849,37.23530206564277,134.45525228460113,0.0,0.0,True,True,[]
3,1476.4566091131849,41880.14770977462,1476.4566091131849,False,False,False,{},[],switch_transshipment_operator,regret_repair,33,SwitchTransshipment + Regret,extended_mode,588c3c20cc1b34c66bb90f4e6e3296af5397f1ad4ba671b07d59f1f15a446514,999.00025,1,False,40403.69110066143,567.6486884593675,401.64868845936746,166.0,401.64868845936746,0.0,283.0638126221508,106.0638126221508,177.0,1029.435208693097,15.43520869309688,1014.0,208.10812873542355,121.21578585388664,296.8309364057093,29.447918486041015,1,1,1,3,6,9,66.25533060520713,66.25533060520713,40000.0,41880.14770977462,92.62621351724937,9.56709847021665,0.0,1.0,True,False,"['unassigned customers remain: [7, 11, 16, 19, 24]', 'customer 9 service_start 377.270 exceeds latest 360.000.', 'drone_id drone_9 launch_position 1 is before previous recovery_position 2.', 'high-floor customer 11 must be served by drone.']"
4,1476.4566091131849,51382.93726200886,1476.4566091131849,False,False,False,{},[],cascade_aware_removal,best_mode_repair,12,Cascade + Global,extended_mode,588c3c20cc1b34c66bb90f4e6e3296af5397f1ad4ba671b07d59f1f15a446514,998.5007498750001,2,False,49906.480652895676,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,251.41812276286146,133.41812276286146,118.0,688.137840029597,12.13784002959697,676.0,143.7208804230052,152.47785458612736,233.42000056917252,27.39109458412811,1,1,1,2,4,10,242.5278861703883,242.5278861703883,50000.0,51382.93726200886,210.33683794879104,163.74216385643513,0.0,4.0,True,False,"['customer 5 service_start 382.592 exceeds latest 360.000.', 'drone_id drone_2 is carried by van_0 before sortie but launches from van_1.', 'customer 13 service_start 391.002 exceeds latest 360.000.', 'customer 22 service_start 395.403 exceeds latest 360.000.', 'drone_id drone_2 is carried by van_0 before sortie but launches from van_1.']"
5,1307.154714175397,1307.154714175397,1307.154714175397,True,True,False,{},[],drone_task_removal,regret_repair,28,DroneTask + Regret,extended_mode,588c3c20cc1b34c66bb90f4e6e3296af5397f1ad4ba671b07d59f1f15a446514,998.0014995000627,0,True,-169.3018949377879,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,348.6409846592778,171.6409846592778,177.0,515.1324302997191,8.132430299719102,507.0,143.7208804230052,196.1611253248889,156.39289037921353,20.13251539966396,1,1,1,3,3,7,95.9903772659888,95.9903772659888,0.0,1307.154714175397,45.17781257212408,102.87932459906688,0.0,0.0,True,True,[]
